#group,false,false,true,true,false,false,true,true,true
#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,double,string,string,string
#default,mean,,,,,,,,
,result,table,_start,_stop,_time,_value,_field,_measurement,device
,,0,2023-07-23T08:38:34.979215168Z,2023-08-22T08:38:34.979215168Z,2023-07-26T16:00:00Z,9.054247791666667,value,absolute_humidity,bashful
,,0,2023-07-23T08:38:34.979215168Z,2023-08-22T08:38:34.979215168Z,2023-07-26T17:00:00Z,8.908005555555556,value,absolute_humidity,bashful
,,0,2023-07-23T08:38:34.979215168Z,2023-08-22T08:38:34.979215168Z,2023-07-26T18:00:00Z,8.859391756944444,value,absolute_humidity,bashful
,,0,2023-07-23T08:38:34.979215168Z,2023-08-22T08:38:34.979215168Z,2023-07-26T19:00:00Z,9.308954833333333,value,absolute_humidity,bashful
,,0,2023-07-23T08:38:34.979215168Z,2023-08-22T08:38:34.979215168Z,2023-07-26T20:00:00Z,9.305891416666666,value,absolute_humidity,bashful
,,0,2023-07-23T08:38:34.979215168Z,2023-08-22T08:38:34.979215168Z,2023-07-26T21:00:00Z,9.344486555555557,value,absolute_humidity,bashful
,,0,2023-07-23T08:38:34.979215168Z,2023-08-22T08:38:34.979215168Z,2023-07-26T22:00:00Z,9.288550527777778,value,absolute_humidity,bashful
,,0,2023-07-23T08:38:34.979215168Z,2023-08-22T08:38:34.979215168Z,2023-07-26T23:00:00Z,9.295676694444444,value,absolute_humidity,bashful
,,0,2023-07-23T08:38:34.979215168Z,2023-08-22T08:38:34.979215168Z,2023-07-27T00:00:00Z,9.282010305555556,value,absolute_humidity,bashful
,,0,2023-07-23T08:38:34.979215168Z,2023-08-22T08:38:34.979215168Z,2023-07-27T01:00:00Z,9.265520277777778,value,absolute_humidity,bashful
,,0,2023-07-23T08:38:34.979215168Z,2023-08-22T08:38:34.979215168Z,2023-07-27T02:00:00Z,9.25561561111111,value,absolute_humidity,bashful
