#group,false,false,true,true,false,false,true,true,true
#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,double,string,string,string
#default,mean,,,,,,,,
,result,table,_start,_stop,_time,_value,_field,_measurement,device
,,0,2023-07-23T08:39:25.429013728Z,2023-08-22T08:39:25.429013728Z,2023-07-26T16:00:00Z,1.114578083333333,value,battery_voltage,bashful
,,0,2023-07-23T08:39:25.429013728Z,2023-08-22T08:39:25.429013728Z,2023-07-26T17:00:00Z,1.1141404722222221,value,battery_voltage,bashful
,,0,2023-07-23T08:39:25.429013728Z,2023-08-22T08:39:25.429013728Z,2023-07-26T18:00:00Z,1.1123877398989899,value,battery_voltage,bashful
,,0,2023-07-23T08:39:25.429013728Z,2023-08-22T08:39:25.429013728Z,2023-07-26T19:00:00Z,4.075591638888889,value,battery_voltage,bashful
,,0,2023-07-23T08:39:25.429013728Z,2023-08-22T08:39:25.429013728Z,2023-07-26T20:00:00Z,4.068112420634921,value,battery_voltage,bashful
,,0,2023-07-23T08:39:25.429013728Z,2023-08-22T08:39:25.429013728Z,2023-07-26T21:00:00Z,4.060458333333334,value,battery_voltage,bashful
,,0,2023-07-23T08:39:25.429013728Z,2023-08-22T08:39:25.429013728Z,2023-07-26T22:00:00Z,4.053385444444444,value,battery_voltage,bashful
,,0,2023-07-23T08:39:25.429013728Z,2023-08-22T08:39:25.429013728Z,2023-07-26T23:00:00Z,4.046666666666667,value,battery_voltage,bashful
,,0,2023-07-23T08:39:25.429013728Z,2023-08-22T08:39:25.429013728Z,2023-07-27T00:00:00Z,4.040489595238096,value,battery_voltage,bashful
,,0,2023-07-23T08:39:25.429013728Z,2023-08-22T08:39:25.429013728Z,2023-07-27T01:00:00Z,4.034234388888889,value,battery_voltage,bashful
,,0,2023-07-23T08:39:25.429013728Z,2023-08-22T08:39:25.429013728Z,2023-07-27T02:00:00Z,4.028526027777778,value,battery_voltage,bashful
,,0,2023-07-23T08:39:25.429013728Z,2023-08-22T08:39:25.429013728Z,2023-07-27T03:00:00Z,4.020689817460317,value,battery_voltage,bashful
,,0,2023-07-23T08:39:25.429013728Z,2023-08-22T08:39:25.429013728Z,2023-07-27T04:00:00Z,4.014817722222222,value,battery_voltage,bashful
,,0,2023-07-23T08:39:25.429013728Z,2023-08-22T08:39:25.429013728Z,2023-07-27T05:00:00Z,4.011854083333334,value,battery_voltage,bashful
,,0,2023-07-23T08:39:25.429013728Z,2023-08-22T08:39:25.429013728Z,2023-07-27T06:00:00Z,4.006656277777778,value,battery_voltage,bashful
,,0,2023-07-23T08:39:25.429013728Z,2023-08-22T08:39:25.429013728Z,2023-07-27T07:00:00Z,4.001276111111111,value,battery_voltage,bashful
,,0,2023-07-23T08:39:25.429013728Z,2023-08-22T08:39:25.429013728Z,2023-07-27T08:00:00Z,3.9972253511904756,value,battery_voltage,bashful
,,0,2023-07-23T08:39:25.429013728Z,2023-08-22T08:39:25.429013728Z,2023-07-27T09:00:00Z,3.9928313095238095,value,battery_voltage,bashful
,,0,2023-07-23T08:39:25.429013728Z,2023-08-22T08:39:25.429013728Z,2023-07-27T10:00:00Z,3.988291694444444,value,battery_voltage,bashful
,,0,2023-07-23T08:39:25.429013728Z,2023-08-22T08:39:25.429013728Z,2023-07-27T11:00:00Z,3.9846874722222227,value,battery_voltage,bashful
,,0,2023-07-23T08:39:25.429013728Z,2023-08-22T08:39:25.429013728Z,2023-07-27T12:00:00Z,3.98034375,value,battery_voltage,bashful
,,0,2023-07-23T08:39:25.429013728Z,2023-08-22T08:39:25.429013728Z,2023-07-27T13:00:00Z,3.9761353611111114,value,battery_voltage,bashful
,,0,2023-07-23T08:39:25.429013728Z,2023-08-22T08:39:25.429013728Z,2023-07-27T14:00:00Z,3.9723384999999998,value,battery_voltage,bashful
,,0,2023-07-23T08:39:25.429013728Z,2023-08-22T08:39:25.429013728Z,2023-07-27T15:00:00Z,3.9674114722222225,value,battery_voltage,bashful
,,0,2023-07-23T08:39:25.429013728Z,2023-08-22T08:39:25.429013728Z,2023-07-27T16:00:00Z,3.961354083333333,value,battery_voltage,bashful
,,0,2023-07-23T08:39:25.429013728Z,2023-08-22T08:39:25.429013728Z,2023-07-27T17:00:00Z,3.9577031944444445,value,battery_voltage,bashful
,,0,2023-07-23T08:39:25.429013728Z,2023-08-22T08:39:25.429013728Z,2023-07-27T18:00:00Z,3.9484271111111107,value,battery_voltage,bashful
,,0,2023-07-23T08:39:25.429013728Z,2023-08-22T08:39:25.429013728Z,2023-07-27T19:00:00Z,3.945046916666667,value,battery_voltage,bashful
,,0,2023-07-23T08:39:25.429013728Z,2023-08-22T08:39:25.429013728Z,2023-07-27T20:00:00Z,3.9390602420634924,value,battery_voltage,bashful
,,0,2023-07-23T08:39:25.429013728Z,2023-08-22T08:39:25.429013728Z,2023-07-27T21:00:00Z,3.9324478333333333,value,battery_voltage,bashful
,,0,2023-07-23T08:39:25.429013728Z,2023-08-22T08:39:25.429013728Z,2023-07-27T22:00:00Z,3.9254427499999998,value,battery_voltage,bashful
,,0,2023-07-23T08:39:25.429013728Z,2023-08-22T08:39:25.429013728Z,2023-07-27T23:00:00Z,3.917774503968254,value,battery_voltage,bashful
,,0,2023-07-23T08:39:25.429013728Z,2023-08-22T08:39:25.429013728Z,2023-07-28T00:00:00Z,3.909281305555556,value,battery_voltage,bashful
,,0,2023-07-23T08:39:25.429013728Z,2023-08-22T08:39:25.429013728Z,2023-07-28T01:00:00Z,3.9014218888888887,value,battery_voltage,bashful
,,0,2023-07-23T08:39:25.429013728Z,2023-08-22T08:39:25.429013728Z,2023-07-28T02:00:00Z,3.891643654761905,value,battery_voltage,bashful
,,0,2023-07-23T08:39:25.429013728Z,2023-08-22T08:39:25.429013728Z,2023-07-28T03:00:00Z,3.8848073055555563,value,battery_voltage,bashful
,,0,2023-07-23T08:39:25.429013728Z,2023-08-22T08:39:25.429013728Z,2023-07-28T04:00:00Z,3.876918154761905,value,battery_voltage,bashful
,,0,2023-07-23T08:39:25.429013728Z,2023-08-22T08:39:25.429013728Z,2023-07-28T05:00:00Z,3.870104222222222,value,battery_voltage,bashful
,,0,2023-07-23T08:39:25.429013728Z,2023-08-22T08:39:25.429013728Z,2023-07-28T06:00:00Z,3.8635416666666664,value,battery_voltage,bashful
,,0,2023-07-23T08:39:25.429013728Z,2023-08-22T08:39:25.429013728Z,2023-07-28T07:00:00Z,3.8577753412698415,value,battery_voltage,bashful
,,0,2023-07-23T08:39:25.429013728Z,2023-08-22T08:39:25.429013728Z,2023-07-28T08:00:00Z,3.8506533224206354,value,battery_voltage,bashful
,,0,2023-07-23T08:39:25.429013728Z,2023-08-22T08:39:25.429013728Z,2023-07-28T09:00:00Z,3.843997746031746,value,battery_voltage,bashful
,,0,2023-07-23T08:39:25.429013728Z,2023-08-22T08:39:25.429013728Z,2023-07-28T10:00:00Z,3.839010416666667,value,battery_voltage,bashful
,,0,2023-07-23T08:39:25.429013728Z,2023-08-22T08:39:25.429013728Z,2023-07-28T11:00:00Z,3.8333905,value,battery_voltage,bashful
,,0,2023-07-23T08:39:25.429013728Z,2023-08-22T08:39:25.429013728Z,2023-07-28T12:00:00Z,3.8290155555555554,value,battery_voltage,bashful
,,0,2023-07-23T08:39:25.429013728Z,2023-08-22T08:39:25.429013728Z,2023-07-28T13:00:00Z,3.8235728611111113,value,battery_voltage,bashful
,,0,2023-07-23T08:39:25.429013728Z,2023-08-22T08:39:25.429013728Z,2023-07-28T14:00:00Z,3.820098805555556,value,battery_voltage,bashful
,,0,2023-07-23T08:39:25.429013728Z,2023-08-22T08:39:25.429013728Z,2023-07-28T15:00:00Z,3.8149479166666667,value,battery_voltage,bashful
,,0,2023-07-23T08:39:25.429013728Z,2023-08-22T08:39:25.429013728Z,2023-07-28T16:00:00Z,3.810875,value,battery_voltage,bashful
,,0,2023-07-23T08:39:25.429013728Z,2023-08-22T08:39:25.429013728Z,2023-07-29T09:00:00Z,3.8156146666666664,value,battery_voltage,bashful
,,0,2023-07-23T08:39:25.429013728Z,2023-08-22T08:39:25.429013728Z,2023-07-29T10:00:00Z,3.811020777777778,value,battery_voltage,bashful
,,0,2023-07-23T08:39:25.429013728Z,2023-08-22T08:39:25.429013728Z,2023-07-29T11:00:00Z,3.806010444444444,value,battery_voltage,bashful
,,0,2023-07-23T08:39:25.429013728Z,2023-08-22T08:39:25.429013728Z,2023-07-29T12:00:00Z,3.801547028769841,value,battery_voltage,bashful
,,0,2023-07-23T08:39:25.429013728Z,2023-08-22T08:39:25.429013728Z,2023-07-29T13:00:00Z,3.7958590357142854,value,battery_voltage,bashful
,,0,2023-07-23T08:39:25.429013728Z,2023-08-22T08:39:25.429013728Z,2023-07-29T14:00:00Z,3.788468722222223,value,battery_voltage,bashful
,,0,2023-07-23T08:39:25.429013728Z,2023-08-22T08:39:25.429013728Z,2023-07-29T15:00:00Z,3.7864270833333333,value,battery_voltage,bashful
,,0,2023-07-23T08:39:25.429013728Z,2023-08-22T08:39:25.429013728Z,2023-07-29T16:00:00Z,3.7803124444444443,value,battery_voltage,bashful
,,0,2023-07-23T08:39:25.429013728Z,2023-08-22T08:39:25.429013728Z,2023-07-29T17:00:00Z,3.777010361111112,value,battery_voltage,bashful
,,0,2023-07-23T08:39:25.429013728Z,2023-08-22T08:39:25.429013728Z,2023-07-29T18:00:00Z,3.7701376507936515,value,battery_voltage,bashful
,,0,2023-07-23T08:39:25.429013728Z,2023-08-22T08:39:25.429013728Z,2023-07-29T19:00:00Z,3.7663489880952383,value,battery_voltage,bashful
,,0,2023-07-23T08:39:25.429013728Z,2023-08-22T08:39:25.429013728Z,2023-07-29T20:00:00Z,3.7574687777777775,value,battery_voltage,bashful
,,0,2023-07-23T08:39:25.429013728Z,2023-08-22T08:39:25.429013728Z,2023-07-29T21:00:00Z,3.7546332142857146,value,battery_voltage,bashful
,,0,2023-07-23T08:39:25.429013728Z,2023-08-22T08:39:25.429013728Z,2023-07-29T22:00:00Z,3.749134,value,battery_voltage,bashful
,,0,2023-07-23T08:39:25.429013728Z,2023-08-22T08:39:25.429013728Z,2023-07-29T23:00:00Z,3.743599646825397,value,battery_voltage,bashful
,,0,2023-07-23T08:39:25.429013728Z,2023-08-22T08:39:25.429013728Z,2023-07-30T00:00:00Z,3.738119777777778,value,battery_voltage,bashful
,,0,2023-07-23T08:39:25.429013728Z,2023-08-22T08:39:25.429013728Z,2023-07-30T01:00:00Z,3.73225,value,battery_voltage,bashful
