#group,false,false,true,true,false,false,true,true,true
#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,double,string,string,string
#default,mean,,,,,,,,
,result,table,_start,_stop,_time,_value,_field,_measurement,device
,,0,2023-07-23T08:40:03.339863196Z,2023-08-22T08:40:03.339863196Z,2023-07-26T16:00:00Z,991.4695815416667,value,pressure,bashful
,,0,2023-07-23T08:40:03.339863196Z,2023-08-22T08:40:03.339863196Z,2023-07-26T17:00:00Z,991.2215559722222,value,pressure,bashful
,,0,2023-07-23T08:40:03.339863196Z,2023-08-22T08:40:03.339863196Z,2023-07-26T18:00:00Z,991.2233114861111,value,pressure,bashful
,,0,2023-07-23T08:40:03.339863196Z,2023-08-22T08:40:03.339863196Z,2023-07-26T19:00:00Z,990.8481835555557,value,pressure,bashful
,,0,2023-07-23T08:40:03.339863196Z,2023-08-22T08:40:03.339863196Z,2023-07-26T20:00:00Z,991.4565124444447,value,pressure,bashful
,,0,2023-07-23T08:40:03.339863196Z,2023-08-22T08:40:03.339863196Z,2023-07-26T21:00:00Z,991.5700463055555,value,pressure,bashful
,,0,2023-07-23T08:40:03.339863196Z,2023-08-22T08:40:03.339863196Z,2023-07-26T22:00:00Z,991.409452638889,value,pressure,bashful
,,0,2023-07-23T08:40:03.339863196Z,2023-08-22T08:40:03.339863196Z,2023-07-26T23:00:00Z,991.1659918888889,value,pressure,bashful
,,0,2023-07-23T08:40:03.339863196Z,2023-08-22T08:40:03.339863196Z,2023-07-27T00:00:00Z,990.8759681388889,value,pressure,bashful
,,0,2023-07-23T08:40:03.339863196Z,2023-08-22T08:40:03.339863196Z,2023-07-27T01:00:00Z,990.3811679166665,value,pressure,bashful
,,0,2023-07-23T08:40:03.339863196Z,2023-08-22T08:40:03.339863196Z,2023-07-27T02:00:00Z,989.7509121944445,value,pressure,bashful
,,0,2023-07-23T08:40:03.339863196Z,2023-08-22T08:40:03.339863196Z,2023-07-27T03:00:00Z,989.1003502777777,value,pressure,bashful
,,0,2023-07-23T08:40:03.339863196Z,2023-08-22T08:40:03.339863196Z,2023-07-27T04:00:00Z,988.8116488611112,value,pressure,bashful
,,0,2023-07-23T08:40:03.339863196Z,2023-08-22T08:40:03.339863196Z,2023-07-27T05:00:00Z,988.4305064166666,value,pressure,bashful
,,0,2023-07-23T08:40:03.339863196Z,2023-08-22T08:40:03.339863196Z,2023-07-27T06:00:00Z,988.1335670277778,value,pressure,bashful
