#group,false,false,true,true,false,false,true,true,true
#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,double,string,string,string
#default,mean,,,,,,,,
,result,table,_start,_stop,_time,_value,_field,_measurement,device
,,0,2023-07-23T08:40:22.338139805Z,2023-08-22T08:40:22.338139805Z,2023-07-26T10:00:00Z,60.307702700000014,value,sound_pressure,bashful
,,0,2023-07-23T08:40:22.338139805Z,2023-08-22T08:40:22.338139805Z,2023-07-26T16:00:00Z,74.22473575000001,value,sound_pressure,bashful
,,0,2023-07-23T08:40:22.338139805Z,2023-08-22T08:40:22.338139805Z,2023-07-26T17:00:00Z,66.85358477777778,value,sound_pressure,bashful
,,0,2023-07-23T08:40:22.338139805Z,2023-08-22T08:40:22.338139805Z,2023-07-26T18:00:00Z,70.56695041468254,value,sound_pressure,bashful
,,0,2023-07-23T08:40:22.338139805Z,2023-08-22T08:40:22.338139805Z,2023-07-26T19:00:00Z,69.12853161666666,value,sound_pressure,bashful
,,0,2023-07-23T08:40:22.338139805Z,2023-08-22T08:40:22.338139805Z,2023-07-26T20:00:00Z,70.90112324444443,value,sound_pressure,bashful
,,0,2023-07-23T08:40:22.338139805Z,2023-08-22T08:40:22.338139805Z,2023-07-26T21:00:00Z,70.49860935,value,sound_pressure,bashful
,,0,2023-07-23T08:40:22.338139805Z,2023-08-22T08:40:22.338139805Z,2023-07-26T22:00:00Z,66.6148955,value,sound_pressure,bashful
,,0,2023-07-23T08:40:22.338139805Z,2023-08-22T08:40:22.338139805Z,2023-07-26T23:00:00Z,72.65264871111111,value,sound_pressure,bashful
,,0,2023-07-23T08:40:22.338139805Z,2023-08-22T08:40:22.338139805Z,2023-07-27T00:00:00Z,67.51649075,value,sound_pressure,bashful
,,0,2023-07-23T08:40:22.338139805Z,2023-08-22T08:40:22.338139805Z,2023-07-27T01:00:00Z,64.2240332638889,value,sound_pressure,bashful
,,0,2023-07-23T08:40:22.338139805Z,2023-08-22T08:40:22.338139805Z,2023-07-27T02:00:00Z,65.2745191861111,value,sound_pressure,bashful
,,0,2023-07-23T08:40:22.338139805Z,2023-08-22T08:40:22.338139805Z,2023-07-27T03:00:00Z,68.48190951111111,value,sound_pressure,bashful
,,0,2023-07-23T08:40:22.338139805Z,2023-08-22T08:40:22.338139805Z,2023-07-27T04:00:00Z,69.47688109444444,value,sound_pressure,bashful
,,0,2023-07-23T08:40:22.338139805Z,2023-08-22T08:40:22.338139805Z,2023-07-27T05:00:00Z,69.54526863888888,value,sound_pressure,bashful
