#group,false,false,true,true,false,false,true,true,true
#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,double,string,string,string
#default,mean,,,,,,,,
,result,table,_start,_stop,_time,_value,_field,_measurement,device
,,0,2023-07-23T08:39:04.379977836Z,2023-08-22T08:39:04.379977836Z,2023-07-26T16:00:00Z,189.01579516071428,value,altitude,bashful
,,0,2023-07-23T08:39:04.379977836Z,2023-08-22T08:39:04.379977836Z,2023-07-26T17:00:00Z,191.2505561388889,value,altitude,bashful
,,0,2023-07-23T08:39:04.379977836Z,2023-08-22T08:39:04.379977836Z,2023-07-26T18:00:00Z,191.36688679166664,value,altitude,bashful
,,0,2023-07-23T08:39:04.379977836Z,2023-08-22T08:39:04.379977836Z,2023-07-26T19:00:00Z,194.0713854861111,value,altitude,bashful
,,0,2023-07-23T08:39:04.379977836Z,2023-08-22T08:39:04.379977836Z,2023-07-26T20:00:00Z,188.55606849999995,value,altitude,bashful
,,0,2023-07-23T08:39:04.379977836Z,2023-08-22T08:39:04.379977836Z,2023-07-26T21:00:00Z,187.49075875000003,value,altitude,bashful
,,0,2023-07-23T08:39:04.379977836Z,2023-08-22T08:39:04.379977836Z,2023-07-26T22:00:00Z,188.8086035277778,value,altitude,bashful
,,0,2023-07-23T08:39:04.379977836Z,2023-08-22T08:39:04.379977836Z,2023-07-26T23:00:00Z,190.8580156388889,value,altitude,bashful
,,0,2023-07-23T08:39:04.379977836Z,2023-08-22T08:39:04.379977836Z,2023-07-27T00:00:00Z,193.36132582539685,value,altitude,bashful
,,0,2023-07-23T08:39:04.379977836Z,2023-08-22T08:39:04.379977836Z,2023-07-27T01:00:00Z,197.58882352777778,value,altitude,bashful
,,0,2023-07-23T08:39:04.379977836Z,2023-08-22T08:39:04.379977836Z,2023-07-27T02:00:00Z,203.04152691666664,value,altitude,bashful
,,0,2023-07-23T08:39:04.379977836Z,2023-08-22T08:39:04.379977836Z,2023-07-27T03:00:00Z,208.6524713611111,value,altitude,bashful
,,0,2023-07-23T08:39:04.379977836Z,2023-08-22T08:39:04.379977836Z,2023-07-27T04:00:00Z,211.15987144444443,value,altitude,bashful
,,0,2023-07-23T08:39:04.379977836Z,2023-08-22T08:39:04.379977836Z,2023-07-27T05:00:00Z,214.57795963888887,value,altitude,bashful
,,0,2023-07-23T08:39:04.379977836Z,2023-08-22T08:39:04.379977836Z,2023-07-27T06:00:00Z,217.14849258333334,value,altitude,bashful
,,0,2023-07-23T08:39:04.379977836Z,2023-08-22T08:39:04.379977836Z,2023-07-27T07:00:00Z,220.93676594444443,value,altitude,bashful
